opportunity_id,created_at,account_id,account_name,segment,industry,account_region,amount_usd,pipeline_stage,current_stage,forecast_category,next_step_date,status,actual_close,loss_reason,sales_rep_id,rep_name,rep_email,rep_region,rep_start_date
3,2023-01-06 07:00:00+00:00,1808,"Phillips, Lawson and Davis",Mid-Market,Retail,North,62007.0,2,Demo,Best Case,2023-03-08,open,,,8,Elizabeth Rogers,lewisnoah@example.net,North,2023-04-24
4,2023-01-09 07:00:00+00:00,1808,"Phillips, Lawson and Davis",Mid-Market,Retail,North,29158.0,2,Demo,Omit,2023-01-23,open,,,8,Elizabeth Rogers,lewisnoah@example.net,North,2023-04-24
5,2023-01-11 07:00:00+00:00,2031,"Roberson, Walker and Crawford",SMB,Healthcare,North,20540.0,1,Discovery,Omit,2020-01-01,open,,,29,Jamie Stevens,beckygarrison@example.com,East,2022-03-29
6,2023-01-03 07:00:00+00:00,2031,"Roberson, Walker and Crawford",SMB,Healthcare,North,23768.0,5,Closed,Omit,2023-01-13,won,2023-03-30,,29,Jamie Stevens,beckygarrison@example.com,East,2022-03-29
7,2023-02-20 07:00:00+00:00,443,"Hernandez, Lopez and Tate",SMB,Education,South,13544.0,5,Closed,Commit,2023-01-01,won,2023-06-14,,16,Steven Murray,goldenwilliam@example.net,South,2024-06-24
8,2023-01-02 07:00:00+00:00,1182,Thomas-Crawford,SMB,Retail,East,23949.0,2,Demo,Omit,2020-01-01,open,,,30,Elizabeth Warner,tiffanythomas@example.com,East,2024-03-20
9,2023-01-02 07:00:00+00:00,1182,Thomas-Crawford,SMB,Retail,East,17937.0,5,Closed,Omit,2023-03-11,won,2023-04-16,,30,Elizabeth Warner,tiffanythomas@example.com,East,2024-03-20
24,2023-01-20 07:00:00+00:00,1548,Tyler-Allen,Mid-Market,FinTech,South,27480.0,3,Proposal,Best Case,2023-03-21,open,,,19,Christopher Hughes,dawn43@example.net,South,2023-06-10
25,2023-01-13 07:00:00+00:00,1548,Tyler-Allen,Mid-Market,FinTech,South,72876.0,2,Demo,Commit,2023-01-03,open,,,19,Christopher Hughes,dawn43@example.net,South,2023-06-10
26,2023-01-18 07:00:00+00:00,1548,Tyler-Allen,Mid-Market,FinTech,South,85097.0,5,Closed,Best Case,2023-01-09,won,2023-04-05,,19,Christopher Hughes,dawn43@example.net,South,2023-06-10
27,2023-01-20 07:00:00+00:00,1548,Tyler-Allen,Mid-Market,FinTech,South,66054.0,2,Demo,Commit,2023-01-04,open,,,19,Christopher Hughes,dawn43@example.net,South,2023-06-10
