contact_id,account_id,first_name,last_name,email,title,phone,created_at,lead_source,lead_status
512,3069,Deborah,Nielsen,deborah.nielsen@mitchell-rodriguez.com,Geophysicist/field seismologist,(228)455-7130x586,2025-05-25,Referral,Working
6757,1490,Stacy,Martinez,stacy.martinez@briggs-jones.com,Architect,821.327.5883x00320,2025-07-12,Cold Call,New
6863,2228,John,Norris,john.norris@stoneplc.com,"Engineer, manufacturing systems",201-676-5166,2025-04-18,Cold Call,New
3729,248,Jonathan,Hogan,jonathan.hogan@smithschultzandrivera.com,International aid/development worker,940-895-3995x6498,2025-01-10,Ad,Working
2573,2580,Angela,Garcia,angela.garcia@fieldsinc.com,Architect,3629660230,2024-11-11,Cold Call,Working
2822,213,Anthony,Anderson,anthony.anderson@jonesplc.com,Water engineer,536-589-7914x53351,2025-05-26,Ad,Working
2800,2503,Bailey,Moreno,bailey.moreno@lawsoninc.com,Armed forces operational officer,939.780.5647,2023-01-03,Cold Call,New
5006,1142,Paul,Thompson,paul.thompson@peters-ruiz.com,"Conservation officer, historic buildings",978-907-6542,2025-02-18,Cold Call,Unqualified
2531,2998,Joseph,Washington,joseph.washington@kellerplc.com,Exhibition designer,+1-280-925-3279x05272,2023-06-28,Cold Call,New
5424,1936,Kathleen,Rodriguez,kathleen.rodriguez@robinson-gibson.com,Sports development officer,211.287.9147,2024-11-08,Ad,Unqualified
6,1808,Danielle,Carr,danielle.carr@phillipslawsonanddavis.com,Research scientist (physical sciences),001-219-579-7773,2023-11-05,Referral,Unqualified
7930,3725,Kimberly,Richardson,kimberly.richardson@gordonjonesandsmith.com,Television floor manager,,2023-12-23,Referral,Working
6334,790,Veronica,Fisher,veronica.fisher@gardnerinc.com,Interpreter,(989)368-0941x8092,2024-10-22,Referral,New
5063,3015,Catherine,Kline,catherine.kline@jonesrodriguezandsmith.com,English as a second language teacher,+1-399-250-6950,2024-09-22,Ad,New
2407,3521,Ricardo,Oconnor,ricardo.oconnor@millermillerandpacheco.com,Science writer,001-647-605-3057x4906,2023-01-30,Referral,Working
24,1327,Mathew,Martinez,mathew.martinez@patelinc.com,Oceanographer,(430)575-0662,2024-05-04,Referral,New
2957,2724,Stuart,Mills,stuart.mills@manngroup.com,"Development worker, international aid",001-703-812-2354x42282,2025-05-20,Cold Call,Unqualified
2971,2430,Brian,Nguyen,brian.nguyen@bakergroup.com,Research scientist (maths),+1-668-830-7760x10387,2024-08-31,Ad,Qualified
4718,554,Charles,Leon,charles.leon@soto-rodriguez.com,Architectural technologist,866.565.9589x59668,2025-07-15,Cold Call,Unqualified
7958,3406,Kevin,Lyons,kevin.lyons@obrienllc.com,"Surveyor, planning and development",441.372.8791x8737,2025-07-14,Ad,Qualified
2598,684,Jordan,Jackson,jordan.jackson@higgins-horn.com,Secondary school teacher,+1-555-680-7655,2023-06-23,Web,New
5614,2568,Laurie,Chavez,laurie.chavez@hannamorrisonandstevens.com,Community development worker,+1-426-894-5289,2025-02-01,Referral,Unqualified
7855,2137,Tara,Smith,tara.smith@coxjonesandcooper.com,Surgeon,619-371-1439x15259,2024-06-27,Cold Call,New
631,3980,Sharon,Lopez,sharon.lopez@doyle-diaz.com,"Psychologist, prison and probation services",376.941.5895x435,2025-03-21,Ad,New
2257,959,Austin,Allen,austin.allen@smithltd.com,Artist,4802417505,2024-03-24,Referral,New
3343,1414,Erin,Richardson,erin.richardson@peterson-parker.com,Furniture conservator/restorer,001-272-202-5558x1599,2025-02-02,Cold Call,Unqualified
4798,3245,Alicia,Dominguez,alicia.dominguez@howellwhiteandlewis.com,Data scientist,+1-275-654-9931x59797,2024-08-17,Ad,Qualified
6348,2517,Donna,Perry,donna.perry@barber-sherman.com,"Engineer, control and instrumentation",,2022-11-28,Web,New
